Datetime,epoch,moteid,temp,humidity,light,voltage
2004-03-01 07:00:22,6485,1.0,17.1954,46.5249,48.76,2.63964
2004-03-01 07:02:23,6489,1.0,17.6364,45.6379,50.6,2.65143
2004-03-01 07:03:25,6491,1.0,18.3028,43.918,53.36,2.65143
2004-03-01 07:04:56,6494,1.0,19.1064,42.4174,53.36,2.66332
2004-03-01 07:05:23,6495,1.0,19.2436,42.116,53.36,2.67532
2004-03-01 07:06:24,6497,1.0,19.4984,41.5453,53.36,2.66332
2004-03-01 07:07:28,6499,1.0,19.6748,41.1414,57.04,2.66332
2004-03-01 07:07:54,6500,1.0,19.7826,40.9392,57.04,2.66332
2004-03-01 07:08:23,6501,1.0,19.8512,40.7031,57.04,2.67532
2004-03-01 07:09:23,6503,1.0,19.9786,40.5004,57.04,2.67532
2004-03-01 07:10:53,6506,1.0,20.155,40.0268,57.04,2.67532
2004-03-01 07:12:05,6508,1.0,20.351,39.6539,57.04,2.68742
2004-03-01 07:12:58,6510,1.0,20.4392,39.5181,57.04,2.67532
2004-03-01 07:13:22,6511,1.0,20.4686,39.4502,57.04,2.68742
2004-03-01 07:13:57,6512,1.0,20.4882,39.4162,57.04,2.67532
2004-03-01 07:14:25,6513,1.0,20.4784,39.4502,57.04,2.67532
2004-03-01 07:14:58,6514,1.0,20.498,39.3483,57.04,2.68742
2004-03-01 07:15:57,6516,1.0,20.4882,39.5521,60.72,2.67532
2004-03-01 07:16:27,6517,1.0,20.596,39.4842,60.72,2.67532
2004-03-01 07:17:24,6519,1.0,20.6548,39.4162,60.72,2.67532
2004-03-01 07:18:23,6521,1.0,20.6744,39.3483,64.4,2.68742
2004-03-01 07:20:00,6524,1.0,20.694,39.3483,68.08,2.68742
2004-03-01 07:20:28,6525,1.0,20.7136,39.3483,71.76,2.67532
2004-03-01 07:22:06,6528,1.0,20.792,39.0763,75.44,2.67532
2004-03-01 07:22:24,6529,1.0,20.8214,39.0082,79.12,2.67532
2004-03-01 07:23:30,6531,1.0,20.7724,39.1783,79.12,2.67532
2004-03-01 07:23:58,6532,1.0,20.792,39.0763,79.12,2.68742
2004-03-01 07:25:31,6535,1.0,20.8312,39.0082,79.12,2.67532
2004-03-01 07:26:01,6536,1.0,20.841,39.0422,79.12,2.68742
2004-03-01 07:26:22,6537,1.0,20.841,38.9401,79.12,2.68742
2004-03-01 07:26:53,6538,1.0,20.8704,39.0082,79.12,2.68742
2004-03-01 07:27:28,6539,1.0,20.89,38.9401,75.44,2.67532
2004-03-01 07:28:30,6541,1.0,20.9292,38.9401,75.44,2.68742
2004-03-01 07:28:52,6542,1.0,20.9684,38.9061,71.76,2.68742
2004-03-01 07:29:22,6543,1.0,20.9684,38.9061,71.76,2.67532
2004-03-01 07:29:52,6544,1.0,20.9292,39.0082,71.76,2.68742
2004-03-01 07:30:29,6545,1.0,20.9292,39.0763,71.76,2.68742
2004-03-01 07:31:22,6547,1.0,20.9096,39.0763,68.08,2.67532
2004-03-01 07:33:30,6551,1.0,20.89,39.1443,68.08,2.68742
2004-03-01 07:33:51,6552,1.0,20.9096,39.0763,68.08,2.67532
2004-03-01 07:35:21,6555,1.0,20.9292,39.0763,68.08,2.68742
2004-03-01 07:36:03,6556,1.0,20.9488,39.0763,68.08,2.67532
2004-03-01 07:36:23,6557,1.0,20.939,39.0082,71.76,2.67532
2004-03-01 07:36:51,6558,1.0,20.9782,38.9401,71.76,2.68742
2004-03-01 07:37:21,6559,1.0,21.0174,38.8039,71.76,2.68742
2004-03-01 07:38:00,6560,1.0,21.0076,38.8039,71.76,2.68742
2004-03-01 07:39:22,6563,1.0,20.9684,38.9061,75.44,2.68742
2004-03-01 07:39:54,6564,1.0,20.8802,39.1103,79.12,2.68742
2004-03-01 07:40:22,6565,1.0,20.89,39.1783,79.12,2.68742
2004-03-01 07:40:56,6566,1.0,20.9292,39.0763,79.12,2.68742
2004-03-01 07:41:52,6568,1.0,21.0076,38.9742,79.12,2.68742
2004-03-01 07:42:21,6569,1.0,21.0174,38.9401,79.12,2.67532
2004-03-01 07:42:59,6570,1.0,21.0076,38.9401,79.12,2.67532
2004-03-01 07:43:24,6571,1.0,21.0566,38.8039,79.12,2.68742
2004-03-01 07:44:22,6573,1.0,21.0664,38.7357,75.44,2.67532
2004-03-01 07:44:52,6574,1.0,21.0958,38.7357,71.76,2.68742
2004-03-01 07:45:21,6575,1.0,21.1056,38.7357,71.76,2.68742
2004-03-01 07:45:53,6576,1.0,21.1252,38.7357,68.08,2.67532
2004-03-01 07:46:53,6578,1.0,20.9978,38.872,64.4,2.68742
2004-03-01 07:47:25,6579,1.0,20.9782,38.9401,60.72,2.67532
2004-03-01 07:48:21,6581,1.0,20.9488,39.0763,60.72,2.67532
2004-03-01 07:48:59,6582,1.0,20.988,38.9401,60.72,2.67532
2004-03-01 07:49:52,6584,1.0,20.9782,38.9401,60.72,2.68742
2004-03-01 07:50:26,6585,1.0,20.9978,38.9061,57.04,2.68742
2004-03-01 07:50:52,6586,1.0,21.0272,38.8379,57.04,2.68742
2004-03-01 07:51:57,6588,1.0,21.0468,38.8379,57.04,2.67532
2004-03-01 07:52:22,6589,1.0,21.0664,38.7698,57.04,2.68742
2004-03-01 07:52:52,6590,1.0,21.086,38.7698,57.04,2.68742
2004-03-01 07:53:23,6591,1.0,21.0566,38.9061,57.04,2.68742
2004-03-01 07:53:51,6592,1.0,21.0566,38.9401,57.04,2.68742
2004-03-01 07:54:52,6594,1.0,21.0468,38.9401,57.04,2.67532
2004-03-01 07:55:27,6595,1.0,20.939,39.2123,57.04,2.68742
2004-03-01 07:56:02,6596,1.0,20.89,39.3483,60.72,2.68742
2004-03-01 07:56:22,6597,1.0,20.8116,39.5521,60.72,2.67532
2004-03-01 07:56:52,6598,1.0,20.8312,39.5521,60.72,2.68742
2004-03-01 07:57:23,6599,1.0,20.8998,39.3483,60.72,2.68742
2004-03-01 07:57:57,6600,1.0,20.89,39.3143,60.72,2.67532
2004-03-01 07:58:57,6602,1.0,21.0468,38.9401,64.4,2.68742
2004-03-01 07:59:21,6603,1.0,21.0468,38.9401,68.08,2.68742
2004-03-01 08:00:21,6605,1.0,20.9488,39.1783,71.76,2.68742
2004-03-01 08:02:23,6609,1.0,21.0566,38.9401,71.76,2.67532
2004-03-01 08:02:55,6610,1.0,21.0664,38.9061,71.76,2.67532
2004-03-01 08:03:52,6612,1.0,21.0272,39.0082,68.08,2.68742
2004-03-01 08:04:26,6613,1.0,20.9782,39.0763,68.08,2.68742
2004-03-01 08:04:57,6614,1.0,21.0468,38.9401,68.08,2.68742
2004-03-01 08:05:32,6615,1.0,21.0566,38.9061,68.08,2.68742
2004-03-01 08:06:01,6616,1.0,21.037,38.9742,68.08,2.67532
2004-03-01 08:06:21,6617,1.0,21.0664,38.9401,71.76,2.67532
